21:38:48.094 [main] INFO  SentenceHandler - Lexeme: in
21:38:48.094 [main] INFO  LexemeHandler - Word: in
21:38:48.094 [main] INFO  WordHandler - Letter: i
21:38:48.094 [main] INFO  WordHandler - Letter: n
21:38:48.094 [main] INFO  SentenceHandler - Lexeme: the
21:38:48.095 [main] INFO  LexemeHandler - Word: the
21:38:48.095 [main] INFO  WordHandler - Letter: t
21:38:48.095 [main] INFO  WordHandler - Letter: h
21:38:48.095 [main] INFO  WordHandler - Letter: e
21:38:48.095 [main] INFO  SentenceHandler - Lexeme: “Динамо”
21:38:48.095 [main] INFO  LexemeHandler - Word: “Динамо”
21:38:48.095 [main] WARN  WordHandler - Unknown textType
21:38:48.095 [main] INFO  WordHandler - Letter: Д
21:38:48.095 [main] INFO  WordHandler - Letter: и
21:38:48.095 [main] INFO  WordHandler - Letter: н
21:38:48.095 [main] INFO  WordHandler - Letter: а
21:38:48.096 [main] INFO  WordHandler - Letter: м
21:38:48.096 [main] INFO  WordHandler - Letter: о
21:38:48.096 [main] WARN  WordHandler - Unknown textType
21:38:48.096 [main] INFO  SentenceHandler - Lexeme: (Рига)
21:38:48.096 [main] INFO  LexemeHandler - Word: (Рига
21:38:48.096 [main] INFO  WordHandler - Punct in word: (
21:38:48.096 [main] INFO  WordHandler - Letter: Р
21:38:48.096 [main] INFO  WordHandler - Letter: и
21:38:48.096 [main] INFO  WordHandler - Letter: г
21:38:48.097 [main] INFO  WordHandler - Letter: а
21:38:48.097 [main] INFO  LexemeHandler - Punctuation: )
21:38:48.097 [main] INFO  SentenceHandler - Lexeme: with
21:38:48.097 [main] INFO  LexemeHandler - Word: with
21:38:48.097 [main] INFO  WordHandler - Letter: w
21:38:48.097 [main] INFO  WordHandler - Letter: i
21:38:48.098 [main] INFO  WordHandler - Letter: t
21:38:48.098 [main] INFO  WordHandler - Letter: h
21:38:48.098 [main] INFO  SentenceHandler - Lexeme: the
21:38:48.098 [main] INFO  LexemeHandler - Word: the
21:38:48.098 [main] INFO  WordHandler - Letter: t
21:38:48.098 [main] INFO  WordHandler - Letter: h
21:38:48.098 [main] INFO  WordHandler - Letter: e
21:38:48.098 [main] INFO  SentenceHandler - Lexeme: release
21:38:48.099 [main] INFO  LexemeHandler - Word: release
21:38:48.099 [main] INFO  WordHandler - Letter: r
21:38:48.099 [main] INFO  WordHandler - Letter: e
21:38:48.099 [main] INFO  WordHandler - Letter: l
21:38:48.099 [main] INFO  WordHandler - Letter: e
21:38:48.100 [main] INFO  WordHandler - Letter: a
21:38:48.100 [main] INFO  WordHandler - Letter: s
21:38:48.100 [main] INFO  WordHandler - Letter: e
21:38:48.100 [main] INFO  SentenceHandler - Lexeme: of
21:38:48.100 [main] INFO  LexemeHandler - Word: of
21:38:48.100 [main] INFO  WordHandler - Letter: o
21:38:48.101 [main] INFO  WordHandler - Letter: f
21:38:48.101 [main] INFO  SentenceHandler - Lexeme: Letraset
21:38:48.101 [main] INFO  LexemeHandler - Word: Letraset
21:38:48.101 [main] INFO  WordHandler - Letter: L
21:38:48.101 [main] INFO  WordHandler - Letter: e
21:38:48.101 [main] INFO  WordHandler - Letter: t
21:38:48.101 [main] INFO  WordHandler - Letter: r
21:38:48.101 [main] INFO  WordHandler - Letter: a
21:38:48.101 [main] INFO  WordHandler - Letter: s
21:38:48.101 [main] INFO  WordHandler - Letter: e
21:38:48.101 [main] INFO  WordHandler - Letter: t
21:38:48.101 [main] INFO  SentenceHandler - Lexeme: sheets.toString()
21:38:48.102 [main] INFO  LexemeHandler - Word: sheets
21:38:48.102 [main] INFO  WordHandler - Letter: s
21:38:48.102 [main] INFO  WordHandler - Letter: h
21:38:48.102 [main] INFO  WordHandler - Letter: e
21:38:48.102 [main] INFO  WordHandler - Letter: e
21:38:48.102 [main] INFO  WordHandler - Letter: t
21:38:48.102 [main] INFO  WordHandler - Letter: s
21:38:48.102 [main] INFO  LexemeHandler - Word: .toString(
21:38:48.102 [main] INFO  WordHandler - Punct in word: .
21:38:48.102 [main] INFO  WordHandler - Letter: t
21:38:48.103 [main] INFO  WordHandler - Letter: o
21:38:48.103 [main] INFO  WordHandler - Letter: S
21:38:48.103 [main] INFO  WordHandler - Letter: t
21:38:48.103 [main] INFO  WordHandler - Letter: r
21:38:48.103 [main] INFO  WordHandler - Letter: i
21:38:48.103 [main] INFO  WordHandler - Letter: n
21:38:48.103 [main] INFO  WordHandler - Letter: g
21:38:48.103 [main] INFO  WordHandler - Punct in word: (
21:38:48.103 [main] INFO  LexemeHandler - Punctuation: )
21:38:48.103 [main] INFO  SentenceHandler - Lexeme: containing
21:38:48.103 [main] INFO  LexemeHandler - Word: containing
21:38:48.104 [main] INFO  WordHandler - Letter: c
21:38:48.104 [main] INFO  WordHandler - Letter: o
21:38:48.104 [main] INFO  WordHandler - Letter: n
21:38:48.104 [main] INFO  WordHandler - Letter: t
21:38:48.104 [main] INFO  WordHandler - Letter: a
21:38:48.105 [main] INFO  WordHandler - Letter: i
21:38:48.105 [main] INFO  WordHandler - Letter: n
21:38:48.105 [main] INFO  WordHandler - Letter: i
21:38:48.105 [main] INFO  WordHandler - Letter: n
21:38:48.105 [main] INFO  WordHandler - Letter: g
21:38:48.105 [main] INFO  SentenceHandler - Lexeme: Lorem
21:38:48.105 [main] INFO  LexemeHandler - Word: Lorem
21:38:48.105 [main] INFO  WordHandler - Letter: L
21:38:48.105 [main] INFO  WordHandler - Letter: o
21:38:48.105 [main] INFO  WordHandler - Letter: r
21:38:48.106 [main] INFO  WordHandler - Letter: e
21:38:48.106 [main] INFO  WordHandler - Letter: m
21:38:48.106 [main] INFO  SentenceHandler - Lexeme: Ipsum
21:38:48.106 [main] INFO  LexemeHandler - Word: Ipsum
21:38:48.106 [main] INFO  WordHandler - Letter: I
21:38:48.106 [main] INFO  WordHandler - Letter: p
21:38:48.106 [main] INFO  WordHandler - Letter: s
21:38:48.106 [main] INFO  WordHandler - Letter: u
21:38:48.106 [main] INFO  WordHandler - Letter: m
21:38:48.106 [main] INFO  SentenceHandler - Lexeme: passages,
